name,category,city,county,state,website,description
Clover Sonoma,dairy,Santa Rosa,Sonoma,CA,https://www.cloversonoma.com,Regional dairy producer focused on local milk and organic products.
Straus Family Creamery,dairy,Petaluma,Marin,CA,https://www.strausfamilycreamery.com,Organic dairy brand known for milk yogurt and creamery products.
Bellwether Farms,dairy,Petaluma,Sonoma,CA,https://www.bellwetherfarms.com,Artisan sheep and cow milk dairy producer with cultured products.
Marin French Cheese Co.,dairy,Petaluma,Marin,CA,https://www.marinfrenchcheese.com,Historic cheese company producing soft-ripened and specialty cheeses.
Kendall-Jackson,wine,Santa Rosa,Sonoma,CA,https://www.kj.com,Sonoma-based wine producer with broad portfolio and sustainability focus.
Rodney Strong Vineyards,wine,Healdsburg,Sonoma,CA,https://www.rodneystrong.com,Healdsburg winery producing estate and reserve Sonoma wines.
Duckhorn Vineyards,wine,Healdsburg,Sonoma,CA,https://www.duckhorn.com,Premium wine company with Napa and Sonoma vineyard operations.
Point Reyes Farmstead Cheese Co.,natural_foods,Point Reyes Station,Marin,CA,https://www.pointreyescheese.com,Farmstead cheesemaker and specialty food producer in coastal Marin.
Traditional Medicinals,natural_foods,Rohnert Park,Sonoma,CA,https://www.traditionalmedicinals.com,Herbal tea and wellness products company based in Sonoma County.
Amy's Kitchen,natural_foods,Petaluma,Sonoma,CA,https://www.amys.com,Organic packaged foods company with prepared meals soups and snacks.
